file_path,entropy,file_size,num_sections,suspicious_imports,VirtualSize,SizeOfImage,SizeOfHeaders,Relocations,Imports,BaseOfCode,DllCharacteristics,AddressOfEntryPoint,SizeOfInitializedData,SizeOfUninitializedData,packer_type
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_7z.exe,5.87,103169,5,0,276153,283393,4096,0,0,4096,0,190432,28672,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_accesschk.exe,5.18,772865,5,0,1445829,1457921,1024,0,0,4096,33088,1121760,667136,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_AccessEnum.exe,6.06,172801,5,0,474045,480001,4096,0,0,4096,0,325600,139264,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ADExplorer.exe,6.15,477953,5,0,1345497,1356545,1024,0,0,4096,32768,923616,148480,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ADInsight.exe,6.17,2406145,5,0,5292737,5307137,1024,0,0,4096,33088,4817888,4031488,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_aspnet_compiler.exe,5.07,37625,3,0,80121,94969,4096,0,0,8192,1280,67544,8192,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Autologon.exe,6.2,123137,5,0,357717,368385,1024,0,0,4096,33088,251360,68608,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Autoruns.exe,6.35,689921,5,0,1857617,1870593,1024,0,0,4096,33088,1291232,303616,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_autorunsc.exe,6.3,611585,5,0,1621745,1636097,1024,0,0,4096,33088,1135072,291328,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_BatteryInfoView.exe,6.36,84737,5,0,205921,216833,1024,0,0,4096,0,155104,32768,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Bginfo.exe,6.48,2820353,5,0,8400369,8412929,1024,0,0,4096,33088,5645792,899072,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_BlueScreenView.exe,6.34,107777,5,0,271009,283393,4096,0,0,4096,0,200672,45568,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Cacheset.exe,6.09,152321,5,0,430297,439041,4096,0,0,4096,0,296928,126976,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_calc.exe,7.28,765693,4,0,1477269,1487613,1024,0,0,4096,33088,1128412,435712,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Clockres.exe,6.22,124673,5,0,365353,378625,1024,0,0,4096,33088,258528,65024,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_cmd.exe,4.81,300285,4,0,819021,828157,1024,0,0,4096,33088,565212,158720,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ComIntRep.exe,7.05,2091777,5,0,3703669,3711745,1024,0,0,4096,32832,2910176,1533440,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Contig.exe,6.29,242433,5,0,920129,933633,1024,0,0,4096,33024,695776,283648,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Coreinfo.exe,4.07,883969,5,0,1687929,1695489,1024,0,0,4096,33088,1293792,799744,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_cpuz_x32.exe,7.1,3183361,5,0,6388005,6397697,1024,0,0,4096,32768,4802016,2016256,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_DarkNamer.exe,5.79,86785,5,0,203025,209665,4096,0,0,4096,0,145376,32768,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_dat2file.exe,6.36,38161,9,0,102913,129809,1024,0,0,4096,0,95216,32256,3072,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_DatabaseEditor.exe,6.6,38649,3,0,93289,109305,512,0,0,8192,34112,78808,6144,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Dbgview.exe,6.94,466177,5,0,1055225,1066753,1024,0,0,4096,32768,813536,253440,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Desktops.exe,6.69,108801,5,0,302237,315137,1024,0,0,4096,33088,218592,43008,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_dfrgui.exe,6.67,584445,4,0,792977,803581,1024,0,0,4096,33088,696284,487424,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_disk2vhd.exe,2.78,7101697,5,0,9905601,9916161,1024,0,0,4096,33088,8515040,6877696,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_diskext.exe,6.28,127233,5,0,373053,387841,1024,0,0,4096,33088,265184,66048,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Diskmon.exe,6.48,221953,5,0,641965,647937,4096,0,0,4096,0,444384,159744,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_DiskView.exe,7,579841,5,0,2130289,2142977,1024,0,0,4096,32768,1892320,1424384,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_doc2x.exe,6.44,40697,3,0,56553,70393,512,0,0,8192,34112,59352,27648,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_DriverView.exe,6.51,66817,5,0,166997,180993,4096,0,0,4096,0,128992,22016,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_du.exe,6.29,152321,5,0,448957,462593,1024,0,0,4096,33088,314848,77824,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ESEDatabaseView.exe,6.17,104705,5,0,260725,276225,1024,0,0,4096,0,197088,36352,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_EventLogChannelsView.exe,6.43,105729,5,0,248565,258817,1024,0,0,4096,0,186336,44032,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Everything.exe,6.71,1659649,5,0,4884613,4900609,1024,0,0,4096,0,3285472,321536,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_FastHash_kr.exe,6.57,481537,5,0,1339565,1345281,1024,0,0,4096,0,920032,136192,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_FileAssociation.exe,6.31,62721,5,0,179697,193281,1024,0,0,4096,33088,135136,24064,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_FindLinks.exe,6.25,135937,5,0,399481,413441,1024,0,0,4096,33024,282080,66048,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_FolderTimeUpdate.exe,6.47,93953,5,0,217049,227073,1024,0,0,4096,0,164320,40960,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_ftp.exe,6.49,43261,4,0,132693,145149,1024,0,0,4096,33088,106972,27136,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_FullEventLogView.exe,6.5,116993,5,0,287573,298753,1024,0,0,4096,0,212448,43520,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_geek.exe,6.85,6239489,5,0,10573889,10584833,1024,0,0,4096,33024,8423392,4558848,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_grepWin-1.9.0_portable.exe,6.54,1109761,5,0,3070165,3079937,1024,0,0,4096,33088,2098656,321536,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_handle.exe,6.61,414465,5,0,774113,782081,1024,0,0,4096,33024,628192,377856,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Hash.exe,6.78,34049,5,0,111357,124673,1024,0,0,4096,0,98784,42496,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_HashCalc.exe,6.73,520961,5,0,1502233,1512193,4096,0,0,4096,0,1021920,110592,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_Hasher.exe,6.69,620813,8,0,1760285,1784589,1024,0,0,4096,0,1233900,124416,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_HDDScan.exe,6.83,6758681,11,0,16784986,16809753,1024,0,0,4096,0,11994616,2393600,0,1
C:\Users\Public\MLMAL\dataset-packed-pe\packed\Alienyze\alienyze_hex2dec.exe,6.3,134401,5,0,394565,410369,1024,0,0,4096,33088,280544,66048,0,1
