file_path,entropy,file_size,num_sections,suspicious_imports,packer_type
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\7z.exe,5.51,98304,4,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\7za.exe,6.42,471552,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\7zFM.exe,6.08,237056,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\7zFMn.exe,6.06,224768,4,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\accesschk.exe,4.71,792208,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\AccessEnum.exe,5.98,174968,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\AddInProcess.exe,4.35,38744,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\AddInProcess32.exe,4.35,38744,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\AddInUtil.exe,4.3,38736,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ADExplorer.exe,6.0,479832,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\ADInsight.exe,5.99,2425496,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\adrestore.exe,6.02,150328,3,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\adwcleaner_7.2.4.0.exe,6.91,19341520,6,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\AkelAdmin.exe,5.36,17920,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\alien-map.exe,5.86,42536,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\align-layers.exe,5.88,38200,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\AltStreamDump.exe,5.31,9216,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\animation-optimize.exe,6.01,40168,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\animation-play.exe,5.97,53992,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\antialias.exe,5.9,32600,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\AppLaunch.exe,6.5,55632,3,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\apply-canvas.exe,6.62,53504,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\aspnet_compiler.exe,3.83,36864,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\aspnet_regbrowsers.exe,3.29,24576,3,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\aspnet_regiis.exe,6.31,30040,3,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\auditpolreskit.exe,4.98,36112,2,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Autologon.exe,6.35,138920,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Autoruns.exe,6.25,731200,5,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\autorunsc.exe,6.18,645784,5,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\BatteryInfoView.exe,5.97,79872,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Bginfo.exe,6.58,3012328,5,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\blinds.exe,5.85,40472,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\BlueScreenView.exe,6.11,109152,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\blur-gauss-selective.exe,6.14,47288,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\blur-gauss.exe,6.07,52624,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\blur-motion.exe,5.92,50056,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\blur.exe,5.92,32144,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\border-average.exe,5.86,37776,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\bump-map.exe,6.03,51264,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\bzip2.exe,5.8,37586,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\bzz.exe,6.09,44544,7,2,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\Cacheset.exe,6.01,154424,4,3,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\calc.exe,7.16,776192,4,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\cartoon.exe,6.04,44664,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\channel-mixer.exe,5.92,51512,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\CheckDisk.exe,6.14,43512,5,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\checkerboard.exe,5.9,36600,9,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\CheckUpdate.exe,5.9,43512,5,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\checkver.exe,6.37,79872,8,1,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\chglogon.exe,5.96,22016,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\chgport.exe,6.06,22528,4,0,0
C:\Users\Public\MLMAL\dataset-packed-pe\not-packed\chgusr.exe,5.88,20992,4,0,0
